personalInformation,personal,dossier,information,passport,name,mobile,email,nationality,profile,,,,,,,,,,,,,,,,,,,
academic,academic,profile,educational,qualification,credentials,certify,course,training,certification,education,academia,professional,qualification,,,,,,,,,,,,,,,
technicalSkills,technical,strength,skill,certification,computer,knowledge,web,technology,expertise,language,technique,proficiency,skillset,highlight,programming,software,set,key,year,of,experience,stack,,,,,,
workExperience,work,experience,internship,job,project,additional,organizational,professional,industry,employment,company,profile,previous,current,history,relevant,proffesional,accomplishment,,engagement,Accomplishments,,,,,,,
projects,project,responsibilite,research,article,independent,industrial,relevant,detailed,summary,projects,,,,,,,,,,,,,,,,,,
otherInformation,hobby,personal,quality,objective,declaration,client,project,award,patent,training,,,,,,,,,,,,,,,,,,
workshopAndAchievements,achievement,key,workshop,additional,attend,scholatic,,,,,,,,,,,,,,,,,,,,,,
extraCurricularActivity,co,curricular,activity,extra,award,achievement,interest,,,,,,,,,,,,,,,,,,,,,
professionalSummary,professional,summary,career,about,I,overview,profile,experience,executive,,,,,,,,,,,,,,,,,,,
nameAndOtherInformation,nameAndOtherInformation,,,,,,,,,,,,,,,,,,,,,,,,,,,
miscellaneous,miscellaneous,declaration,misc,immigration,work ,status,,,,,,,,,,,,,,,,,,,,,,
references,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
commonWords,and,detail,of,key,background,elective,proficiency,summer,history,acumen,highlight,summary,college,university,year,percentage,yop,place,board,examination,school,month,passing,no,number,known,recent,information
certification,certification,award,technical,certificate,certificates,training,,,,,,,,,,,,,,,,,,,,,,
